neighborhood,city_name
Chicago Lawn,Chicago
South Chicago,Chicago
West Englewood,Chicago
Mount Greenwood,Chicago
Chatham,Chicago
Roseland,Chicago
Montclare,Chicago
Calumet Heights,Chicago
Fuller Park,Chicago
Ohare,Chicago
West Pullman,Chicago
Auburn Gresham,Chicago
New City,Chicago
Avalon Park,Chicago
Clearing,Chicago
Burnside,Chicago
Gage Park,Chicago
Washington Heights,Chicago
East Side,Chicago
78702,Austin
78729,Austin
78704,Austin
78741,Austin
78745,Austin
78703,Austin
78757,Austin
78731,Austin
78758,Austin
78705,Austin
78727,Austin
78722,Austin
78733,Austin
78701,Austin
78723,Austin
78752,Austin
78751,Austin
78736,Austin
78732,Austin
78746,Austin
78754,Austin
78730,Austin
78724,Austin
78756,Austin
78725,Austin
78749,Austin
78759,Austin
78721,Austin
78737,Austin
78748,Austin
78734,Austin
78744,Austin
78738,Austin
78726,Austin
78753,Austin
78735,Austin
78728,Austin
78739,Austin
78750,Austin
78742,Austin
78747,Austin
78717,Austin
78712,Austin
78719,Austin
Pacific Grove,Pacific Grove
Concordia,Portland
Pearl,Portland
Reed,Portland
Goose Hollow,Portland
Sullivans Gulch,Portland
Eastmoreland,Portland
Sabin,Portland
Irvington,Portland
Richmond,Portland
Boise,Portland
Montavilla,Portland
Rose City Park,Portland
Overlook,Portland
Old Town/Chinatown,Portland
Kerns,Portland
Hosford-Abernethy,Portland
King,Portland
Mt. Tabor,Portland
Sunnyside,Portland
Hayhurst,Portland
Multnomah,Portland
Sellwood-Moreland Improvement League,Portland
Marshall Park,Portland
Northwest District,Portland
South Portland,Portland
Eliot,Portland
South Burlingame,Portland
Bridlemile,Portland
Vernon,Portland
Hillsdale,Portland
Buckman,Portland
Creston-Kenilworth,Portland
Grant Park,Portland
Homestead,Portland
Ashcreek,Portland
Parkrose Heights,Portland
Foster-Powell,Portland
Humboldt,Portland
South Tabor,Portland
Woodstock,Portland
Roseway,Portland
Parkrose,Portland
Cathedral Park,Portland
Northwest Heights,Portland
Portland Downtown,Portland
Cully,Portland
Piedmont,Portland
Woodlawn,Portland
North Tabor,Portland
Arbor Lodge,Portland
West Portland Park,Portland
Forest Park,Portland
Southwest Hills,Portland
Kenton,Portland
Brooklyn Action Corps,Portland
University Park,Portland
St. Johns,Portland
Beaumont-Wilshire,Portland
Portsmouth,Portland
Alameda,Portland
Hazelwood,Portland
Arlington Heights,Portland
Mt. Scott-Arleta,Portland
Argay,Portland
Hillside,Portland
Far Southwest,Portland
Collins View,Portland
Brentwood-Darlington,Portland
Sylvan-Highlands,Portland
Arnold Creek,Portland
Madison South,Portland
Linnton,Portland
Wilkes,Portland
Lents,Portland
Sunderland,Portland
Powellhurst-Gilbert,Portland
Ardenwald-Johnson Creek,Portland
Maplewood,Portland
Mill Park,Portland
Glenfair,Portland
Pleasant Valley,Portland
Hayden Island,Portland
Markham,Portland
Sumner,Portland
East Columbia,Portland
Russell,Portland
Crestwood,Portland
Centennial,Portland
Bridgeton,Portland
Lloyd District,Portland
Atlantic,Seattle
Wallingford,Seattle
Highland Park,Seattle
Georgetown,Seattle
Lawton Park,Seattle
Mid-Beacon Hill,Seattle
Fairmount Park,Seattle
West Woodland,Seattle
Alki,Seattle
North Queen Anne,Seattle
West Queen Anne,Seattle
Phinney Ridge,Seattle
Greenwood,Seattle
Whittier Heights,Seattle
Broadway,Seattle
First Hill,Seattle
Eastlake,Seattle
Fremont,Seattle
Stevens,Seattle
Laurelhurst,Seattle
North Admiral,Seattle
Portage Bay,Seattle
Green Lake,Seattle
Lower Queen Anne,Seattle
Crown Hill,Seattle
International District,Seattle
North Beacon Hill,Seattle
Columbia City,Seattle
Maple Leaf,Seattle
East Queen Anne,Seattle
Haller Lake,Seattle
Cedar Park,Seattle
Mann,Seattle
Madison Park,Seattle
Mount Baker,Seattle
Leschi,Seattle
Fauntleroy,Seattle
Genesee,Seattle
Central Business District,Seattle
University District,Seattle
Seward Park,Seattle
Ravenna,Seattle
Belltown,Seattle
Broadview,Seattle
Harrison/Denny-Blaine,Seattle
South Delridge,Seattle
Adams,Seattle
Bitter Lake,Seattle
Interbay,Seattle
Pioneer Square,Seattle
Madrona,Seattle
Loyal Heights,Seattle
View Ridge,Seattle
Matthews Beach,Seattle
Pike-Market,Seattle
High Point,Seattle
Gatewood,Seattle
Yesler Terrace,Seattle
North Delridge,Seattle
Rainier Beach,Seattle
Victory Heights,Seattle
Seaview,Seattle
Harbor Island,Seattle
North Beach/Blue Ridge,Seattle
Minor,Seattle
Windermere,Seattle
Bryant,Seattle
Sunset Hill,Seattle
Roosevelt,Seattle
Southeast Magnolia,Seattle
Dunlap,Seattle
Olympic Hills,Seattle
North College Park,Seattle
Riverview,Seattle
Pinehurst,Seattle
Briarcliff,Seattle
Meadowbrook,Seattle
Montlake,Seattle
Wedgwood,Seattle
Rainier View,Seattle
Westlake,Seattle
South Beacon Hill,Seattle
South Park,Seattle
Industrial District,Seattle
Arbor Heights,Seattle
South Lake Union,Seattle
Roxhill,Seattle
Holly Park,Seattle
Hennepin,Twin Cities MSA
Ramsey,Twin Cities MSA
Washington,Twin Cities MSA
Wright,Twin Cities MSA
Anoka,Twin Cities MSA
Isanti,Twin Cities MSA
Pierce,Twin Cities MSA
Dakota,Twin Cities MSA
St. Croix,Twin Cities MSA
Mille Lacs,Twin Cities MSA
Carver,Twin Cities MSA
Scott,Twin Cities MSA
Sherburne,Twin Cities MSA
Chisago,Twin Cities MSA
Le Sueur,Twin Cities MSA
Sibley,Twin Cities MSA
Hollywood,Broward County
Fort Lauderdale,Broward County
Pompano Beach,Broward County
Southwest Ranches,Broward County
Oakland Park,Broward County
Deerfield Beach,Broward County
Lauderdale By The Sea,Broward County
Coral Springs,Broward County
Lauderdale Lakes,Broward County
West Park,Broward County
Miramar,Broward County
Hallandale Beach,Broward County
Lighthouse Point,Broward County
Tribal Land,Broward County
Margate,Broward County
Sunrise,Broward County
Wilton Manors,Broward County
Pembroke Pines,Broward County
Weston,Broward County
Dania Beach,Broward County
Pembroke Park,Broward County
Coconut Creek,Broward County
Sea Ranch Lakes,Broward County
Unincorporated,Broward County
Lauderhill,Broward County
Hillsboro Beach,Broward County
Plantation,Broward County
Davie,Broward County
Parkland,Broward County
Lazy Lake,Broward County
Cooper City,Broward County
Tamarac,Broward County
North Lauderdale,Broward County
County Regional Facility,Broward County
City of Las Vegas,Clark County
City of Henderson,Clark County
City of North Las Vegas,Clark County
City of Mesquite,Clark County
Nellis AFB,Clark County
Boulder City,Clark County
East Boston,Boston
Roxbury,Boston
South Boston,Boston
Back Bay,Boston
Beacon Hill,Boston
Downtown,Boston
Jamaica Plain,Boston
Allston,Boston
Dorchester,Boston
North End,Boston
South End,Boston
Brighton,Boston
Bay Village,Boston
Charlestown,Boston
Hyde Park,Boston
Roslindale,Boston
Mission Hill,Boston
West Roxbury,Boston
Fenway,Boston
South Boston Waterfront,Boston
Chinatown,Boston
West End,Boston
Mattapan,Boston
Longwood Medical Area,Boston
Leather District,Boston
Pacifica,San Mateo County
Menlo Park,San Mateo County
Portola Valley,San Mateo County
Atherton,San Mateo County
San Carlos,San Mateo County
Half Moon Bay,San Mateo County
Redwood City,San Mateo County
Unincorporated Areas,San Mateo County
San Mateo,San Mateo County
San Bruno,San Mateo County
Burlingame,San Mateo County
Daly City,San Mateo County
Woodside,San Mateo County
South San Francisco,San Mateo County
Brisbane,San Mateo County
Foster City,San Mateo County
Belmont,San Mateo County
Hillsborough,San Mateo County
East Palo Alto,San Mateo County
Millbrae,San Mateo County
Colma,San Mateo County
